A
WOFF
IFDS
DEM
E00
GML
GPX
ITN
MXD
OV2
SHP
TAB
DTED
KML
3DT
ATY
MGMF
MM
ACT
ASE
GPL
PAL
ICC
ICM
CD5
CIT
CR2
CLIP
CPL
DDS
DIB
GIF
GRF
ICNS
ICO
JNG
JFIF
JP2
JPS
KRA
LBM
MAX
MIFF
MNG
MSP
NITF
OTB
PBM
PC1
PC2
PC3
PCX
PDN
PGF
PGM
PI1
PI2
PI3
PICT
PCT
PNM
PNS
PPM
PSB
PDD
PSP
PX
PXM
PXR
RAW
RLE
SCT
SGI
RGB
INT
BW
TGA
TIFF
EP
VTF
XBM
XPM
ZIF
BLP
BTI
AWG
CGM
CMX
DP
DRAWIO
E2D
EPS
FS
ODG
MOVIE
BYU
SVG
3DMLW
X3D
SXD
TGAX
V2D
VDOC
VSD
VSDX
VND
WMF
EMF
XAR
3DMF
3DM
3DS
ABC
AC
AN8
AOI
B3D
BLEND
BLOCK
BMD3
BDL4
BRRES
BFRES
C4D
CCP4
CFL
COB
CORE3D
CTM
DAE
DFF
DPM
DTS
EGG
FACT
FBX
GLB
IOB
JAS
JMESH
LDR
LWO
LWS
LXF
LXO
M3D
MA
MB
MPD
MD2
MD3
MD5
MESH
MIOBJECT
MIPARTICLE
MIMODEL
MM3D
MPO
MRC
NIF
OBJ
OFF
OGEX
PLY
POV
R3D
RWX
SIA
SIB
SMD
U3D
USD
USDA
USDC
USDZ
VIM
VRML97
VUE
VWX
WINGS
W3D
X
Z3D
ZBMX
JNLP
LNK
NAL
URL
WEBLOC
SYM
MML
ODF
SXM
8BF
BAC
BPL
COFF
COM
DCU
DLL
DOL
EAR
ELF
EXE
IPA
JAR
JEFF
LIB
LIST
NLM
RLL
VAP
WAR
XBE
XCOFF
XEX
XPI
OCX
TLB
VBX
DVI
PLD
PCL
SNP
CSS
MNB
MSG
ORG
PST
OST
SC2
GSLIDES
KEY
KEYNOTE
ODP
OTP
PEZ
POT
PPS
PPT
PPTX
PRZ
SDD
SHF
SHOW
SHW
SLP
SSPSS
STI
SXI
THMX
WATCH
MPP
SPC
EAS3
EOSSA
HITRAN
CSDM
HDR
HDF
SDXF
CDF
CGNS
FMF
GRIB
BUFR
PP
CML
AB1
ACE
ASN
1
BAM
BCF
BED
CAF
CRAM
DDBJ
EMBL
FASTA
FASTQ
GCPROJ
GFF
GTF
MAF
NCBI
NEXUS
NWK
PHD
SAM
SBML
SCF
SFF
SRA
VCF
BRIK
HEAD
MGH
MGZ
MINC
ACQ
ADICHT
BCI2000
BKR
CFWB
DICOM
EDF
FEF
GDF
MFER
SIGIF
WFDB
XDF
HL7
CBF
EBF
CBFX
EBFX
ADB
ADS
AHK
APPLESCRIPT
AS
AU3
AWK
BAT
BAS
BTM
CLASS
CLJS
CMD
C
CIA
CPP
CS
INO
ERB
GO
HTA
IBI
ICI
IJS
ITCL
JS
JSFL
LUA
M
NUC
NUD
NUT
O
PHP
PL
PM
PS1
PS1XML
PSC1
PSD1
PSM1
PY
PYC
PYO
R
RB
RDP
RS
SB2
SB3
SCPT
SCPTD
SDL
SH
SPRITE3
SPWN
SYJS
SYPY
TCL
TNS
TS
VBS
XPL
OMF
GXK
PEM
PFX
AXX
EEA
TC
KODE
BPW
KDB
KDBX
CFG
GMS
IROCK
SAC
SEED
MSEED
SEGY
WIN
WIN32
8SVX
16SVX
AIFF
AIF
AIFC
AU
AUP3
BWF
CDDA
DSF
WAV
CWAV
RA
RM
FLAC
LA
PAC
APE
OFR
OFS
RKA
SHN
TAK
THD
TTA
WV
WMA
BCWAV
BRSTM
DTSHD
DTSMA
AST
AW
AC3
AMR
MP1
MP2
MP3
SPX
GSM
MPC
VQF
OTS
SWA
VOX
VOC
SMP
MOD
MT2
S3M
XM
IT
MID
MIDI
DARMS
ETF
GP
KERN
LY
MEI
MUS
MUSX
MXL
MSCX
MSCZ
SMDL
NIFF
PTB
ASF
CUST
GYM
JAM
RMJ
SID
TXM
VGM
YM
PVD
AIMPPL
ASX
RAM
XSPF
ZPL
M3U
PLS
ALS
ALC
ALP
ATMOS
AUDIO
METADATA
AUP
BAND
CEL
CAU
CPR
CWP
DRM
DMKIT
ENS
FLM
FLP
GRIR
LOGIC
MMP
MMR
MX6HS
NPR
OMFI
PTX
PTF
PTS
RPP
REAPEAKS
SES
SFK
SFL
SNG
STF
SND
SYN
UST
VCLS
VPR
VSQ
VSQX
WTV
ADA
2
S
BB
BMX
CLJ
CLS
CBL
CC
CXX
CBP
CSPROJ
D
DBA
E
EFS
EL
FOR
FTN
F
F77
F90
FRX
FTH
GED
GM6
GMD
GMK
H
HPP
HXX
HS
I
INC
JAVA
L
LGT
LISP
M4
ML
MSQR
N
P
PAS
PHP3
PHP4
PHP5
PHPS
PIV
PLI
PL1
PRG
PRO
POL
RED
REDS
RESX
RC
RC2
RKT
RKTL
SCALA
SCI
SCE
SCM
SD7
SKC
SKD
SKF
SKG
SKI
SKK
SKM
SKO
SKQ
SKS
SKT
SKZ
SLN
SPIN
STK
SWG
VB
VBG
VBP
VIP
VBPROJ
VCPROJ
VDPROJ
XQ
XSL
Y
123
AB2
AB3
AWS
BCSV
CLF
CELL
GSHEET
LCW
ODS
QPW
SLK
STC
SXC
VC
WK1
WK3
WK4
WKS
WQ1
XLK
XLS
XLSB
XLSM
XLSX
XLR
XLT
XLTM
XLW
TSV
AAF
3GP
AVCHD
AVI
BRAW
CAM
COLLAB
FLV
NOA
FLA
FLR
SOL
STR
M4V
WRAP
THP
MXF
ROQ
NSV
SVI
SMI
SWF
WMV
YUV
DRP
FCP
MSWMM
PPJ
PRPROJ
IMOVIEPROJ
VEG
SUF
WLMP
KDENLIVE
VPJ
MOTN
IMOVIEMOBILE
WFP
WVE
PDS
VPROJ
MCADDON
MCFUNCTION
MCMETA
MCPACK
MCR
MCTEMPLATE
MCWORLD
NBS
GBX
REPLAY
CHALLENGE
MAP
SYSTEMCONFIG
TRACKMANIAVEHICLE
VEHICLETUNINGS
SOLID
ITEM
TEXTURE
MATERIAL
TMEDCLASSIC
GHOST
CONTROLSTYLE
SCORES
PROFILE
LOC
SCRIPT
DEH
DSG
LMP
WAD
BSP
MDL
PK2
PK3
PK4
U
UAX
UMX
UNR
UPK
USX
UT2
UT3
UTX
UXX
DMO
GRP
ITM
SQF
SQM
PBO
LIP
VMF
VMX
HL2
VPK
VMT
CGB
BOL
DBPF
DIVA
ESM
ESP
HAMBU
HE0
HE2
HE4
GCF
LOVE
MCA
NBT
OEC
OSB
OSC
OSF2
OSU
OSZ2
P3D
PLAGUEINC
POD
RCT
REP
SMZIP
SOLITAIRETHEME8
USLD
VVVVVV
CPS
STM
PKG
CHR
Z5
WBFS
GBA
078
TAP
Z80
SNA
T64
CRT
DTD
AXD
CEX
COL
CREDX
DDB
DDI
DUPX
FTMB
GA3
HLP
IGC
INF
KMC
KCL
KTR
LSM
MELSAVE
MELMOD
NARC
OER
PA
PIF
POR
PXZ
RISE
SCR
TOPC
XLF
XMC
ZED
FX
MIFRAMES
MILANGUAGE
MIDATA
BCA
ANI
CUR
INI
JSON
YAML
SZH
